1	3	1	1
1	4	1	1
1	5	1	1
1	9	1	1
1	2	1	1
2	2	1	2
2	4	1	2
2	9	1	2
3	5	1	3
3	15	1	3
4	15	1	4
4	5	1	4
4	8	1	4
5	5	1	5
6	6	1	6
6	17	1	6
6	1	1	6
7	5	1	7
7	15	1	7
8	2	1	8
8	4	1	8
9	1	1	9
10	1	1	10
10	2	1	10
10	17	1	10
11	15	1	11
11	8	1	11
11	5	1	11
12	11	1	12
12	5	1	12
13	3	1	13
13	4	1	13
14	8	1	14
15	1	1	15
15	2	1	15
15	15	1	15
16	6	1	16
16	8	1	16
17	15	1	17
17	5	1	17
17	8	1	17
18	17	1	18
18	5	1	18
18	8	1	18
19	5	1	19
20	1	1	20
20	5	1	20
20	6	1	20
20	8	1	20
20	17	1	20
21	1	1	21
21	5	1	21
21	8	1	21
22	11	1	22
22	14	1	22
22	8	1	22
22	6	1	22
22	17	1	22
23	1	1	23
23	6	1	23
23	17	1	23
24	16	1	24
24	8	1	24
25	8	1	25
25	15	1	25
26	8	1	26
27	8	1	27
28	15	1	28
28	8	1	28
29	16	1	29
29	14	1	29
29	9	1	29
29	2	1	29
29	8	1	29
30	6	1	30
30	8	1	30
31	8	1	31
32	16	1	32
32	17	1	32
33	2	1	33
33	12	1	33
33	15	1	33
34	4	1	34
34	9	1	34
34	5	1	34
34	8	1	34
35	8	1	35
35	15	1	35
36	6	1	36
36	8	1	36
37	7	1	37
37	12	1	37
38	5	1	38
39	5	1	39
39	15	1	39
40	8	1	40
41	18	1	41
41	8	1	41
42	8	1	42
42	1	1	42
42	6	1	42
43	8	1	43
44	1	1	44
44	2	1	44
44	9	1	44
45	5	1	45
45	8	1	45
45	17	1	45
46	15	1	46
46	8	1	46
47	17	1	47
47	14	1	47
47	11	1	47
47	6	1	47
48	3	1	48
48	4	1	48
48	13	1	48
48	15	1	48
49	8	1	49
49	15	1	49
50	6	1	50
50	14	1	50
50	17	1	50
51	8	1	52
51	15	1	52
51	5	1	52
52	8	1	53
52	2	1	53
53	4	1	54
53	5	1	54
54	8	1	55
55	2	1	56
55	4	1	56
55	9	1	56
56	8	1	57
57	5	1	58
57	8	1	58
57	15	1	58
58	8	1	59
58	14	1	59
59	2	1	60
59	4	1	60
59	9	1	60
60	8	1	61
60	17	1	61
61	8	1	62
62	5	1	63
62	6	1	63
63	5	1	64
63	15	1	64
64	5	1	65
65	1	1	66
65	16	1	66
65	17	1	66
66	8	1	67
67	5	1	68
67	15	1	68
68	5	1	69
69	1	1	70
69	5	1	70
69	11	1	70
69	17	1	70
70	1	1	71
71	5	1	72
71	8	1	72
72	8	1	73
72	18	1	73
73	8	1	74
73	15	1	74
74	5	1	75
74	8	1	75
75	1	1	76
75	16	1	76
75	17	1	76
76	7	1	77
77	8	1	78
78	8	1	79
78	17	1	79
79	4	1	80
79	8	1	80
80	8	1	81
80	15	1	81
80	6	1	81
81	5	1	82
81	8	1	82
82	8	1	83
83	5	1	84
83	8	1	84
84	8	1	85
84	15	1	85
85	2	1	86
85	8	1	86
86	4	1	87
86	5	1	87
87	5	1	88
88	1	1	89
88	17	1	89
89	8	1	90
90	8	1	92
90	11	1	92
90	17	1	92
91	5	1	93
91	15	1	93
92	5	1	94
92	8	1	94
92	15	1	94
93	1	1	95
93	2	1	95
93	17	1	95
94	5	1	96
94	8	1	96
95	8	1	97
96	1	1	98
96	17	1	98
97	7	1	99
98	8	1	100
98	17	1	100
