1	3	1
1	4	1
1	5	1
2	1	1
2	2	1
2	16	1
3	16	1
4	1	1
4	5	1
4	8	1
5	6	1
5	8	1
5	16	1
6	8	1
7	8	1
7	15	1
8	4	1
8	5	1
8	8	1
9	8	1
10	8	1
10	17	1
11	6	1
11	16	1
12	6	1
12	16	1
13	5	1
14	8	1
14	14	1
15	8	1
16	5	1
16	14	1
17	1	1
17	5	1
17	6	1
17	11	1
17	16	1
18	8	1
19	8	1
20	8	1
20	14	1
21	1	1
21	2	1
21	5	1
21	12	1
21	16	1
22	1	1
22	8	1
22	17	1
23	8	1
23	16	1
24	1	1
24	2	1
24	6	1
25	5	1
26	5	1
27	1	1
28	1	1
28	8	1
28	16	1
29	1	1
29	2	1
29	5	1
29	6	1
30	8	1
31	8	1
31	16	1
31	17	1
32	7	1
33	1	1
33	14	1
33	16	1
34	5	1
34	8	1
35	2	1
35	4	1
35	8	1
36	8	1
36	14	1
37	8	1
38	15	1
38	16	1
39	1	1
39	6	1
39	15	1
40	5	1
41	5	1
42	5	1
43	8	1
43	16	1
44	8	1
44	16	1
45	5	1
45	8	1
46	8	1
47	5	1
47	8	1
48	7	1
49	5	1
49	14	1
50	1	1
50	2	1
50	14	1
50	15	1
50	17	1
51	8	1
51	14	1
51	17	1
51	18	1
52	8	1
53	1	1
53	16	1
54	1	1
54	8	1
54	16	1
55	6	1
55	8	1
55	14	1
55	16	1
56	6	1
56	8	1
57	8	1
58	8	1
59	8	1
60	8	1
61	8	1
62	1	1
62	2	1
62	15	1
63	4	1
63	5	1
64	8	1
65	5	1
65	8	1
66	5	1
66	14	1
67	5	1
68	1	1
68	14	1
68	16	1
69	5	1
69	14	1
69	17	1
70	5	1
70	14	1
71	3	1
71	4	1
71	12	1
72	5	1
72	6	1
72	9	1
73	1	1
73	5	1
73	18	1
74	1	1
74	5	1
74	8	1
75	7	1
76	6	1
76	8	1
77	8	1
77	16	1
78	2	1
78	4	1
78	8	1
79	1	1
79	16	1
80	1	1
80	5	1
80	17	1
81	5	1
81	14	1
82	1	1
82	2	1
82	15	1
83	5	1
83	14	1
84	11	1
84	15	1
85	5	1
86	8	1
87	8	1
88	5	1
88	14	1
89	10	1
89	15	1
90	5	1
90	14	1
90	16	1
91	4	1
91	5	1
91	12	1
92	1	1
92	6	1
92	14	1
93	5	1
93	8	1
94	4	1
94	5	1
95	3	1
95	4	1
95	5	1
95	12	1
96	1	1
96	15	1
96	16	1
97	2	1
97	8	1
97	18	1
98	8	1
98	16	1
99	3	1
99	4	1
99	12	1
100	6	1
100	8	1
100	16	1
101	1	1
101	2	1
101	3	1
101	11	1
101	15	1
102	3	1
102	4	1
103	3	1
103	4	1
103	12	1
104	5	1
105	5	1
106	8	1
106	16	1
107	8	1
108	5	1
109	5	1
109	15	1
110	1	1
110	2	1
110	5	1
110	17	1
111	5	1
111	14	1
112	2	1
112	4	1
113	8	1
114	3	1
115	7	1
116	5	1
117	1	1
117	2	1
117	16	1
118	1	1
118	2	1
118	16	1
119	7	1
120	5	1
120	6	1
121	1	1
121	15	1
121	17	1
122	5	1
123	5	1
123	11	1
124	8	1
124	13	1
125	8	1
125	14	1
126	8	1
127	1	1
127	6	1
127	8	1
128	1	1
128	16	1
129	6	1
129	8	1
129	14	1
129	16	1
130	6	1
131	8	1
131	14	1
132	2	1
132	4	1
132	8	1
132	12	1
133	8	1
133	14	1
133	17	1
134	8	1
135	8	1
135	13	1
135	15	1
135	16	1
136	8	1
137	8	1
138	4	1
138	5	1
139	4	1
139	5	1
140	2	1
140	4	1
141	2	1
141	4	1
141	9	1
141	15	1
142	2	1
142	4	1
142	12	1
143	12	1
144	1	1
144	16	1
145	1	1
145	15	1
145	16	1
146	8	1
147	1	1
147	16	1
148	1	1
148	2	1
149	8	1
150	5	1
150	8	1
151	2	1
151	4	1
151	5	1
152	5	1
152	15	1
153	5	1
154	5	1
155	12	1
155	14	1
156	6	1
156	16	1
157	8	1
157	17	1
158	5	1
159	13	1
159	16	1
160	8	1
161	1	1
161	14	1
162	8	1
163	5	1
164	1	1
164	2	1
164	15	1
164	16	1
165	8	1
166	8	1
167	5	1
168	5	1
169	3	1
169	5	1
170	5	1
170	8	1
170	14	1
171	5	1
171	15	1
172	1	1
172	2	1
172	8	1
172	14	1
172	15	1
172	17	1
173	1	1
173	2	1
173	5	1
173	14	1
174	1	1
174	2	1
175	15	1
176	1	1
176	15	1
176	16	1
176	17	1
177	1	1
177	18	1
178	8	1
179	15	1
180	8	1
180	17	1
181	1	1
181	2	1
181	14	1
181	15	1
181	17	1
182	6	1
182	8	1
183	1	1
183	11	1
183	15	1
183	16	1
184	1	1
184	2	1
184	5	1
184	11	1
184	15	1
185	11	1
185	14	1
185	16	1
186	1	1
186	5	1
186	12	1
187	1	1
187	6	1
187	8	1
188	1	1
188	8	1
188	17	1
189	3	1
189	5	1
190	8	1
190	17	1
191	8	1
191	13	1
192	8	1
193	8	1
194	5	1
194	6	1
195	1	1
195	15	1
195	16	1
196	8	1
197	8	1
197	14	1
198	16	1
199	8	1
199	17	1
200	11	1
201	1	1
201	2	1
201	5	1
201	11	1
202	5	1
202	14	1
203	18	1
